Name,intensity_x,intensity_y,unnormalized_intensity,label
seq1259_all_clean_seqs_gap0_no20_0.4,883.6441114228065,3239.1401689670793,2786.6590854728447,cooperative
seq1260_all_clean_seqs_gap0_no20_0.4,1524.014605094375,7446.1883830867555,6245.79767461106,cooperative
seq1261_all_clean_seqs_gap0_no20_0.4,4220.08308239258,10133.533785538044,8455.39920776287,cooperative
seq1264_all_clean_seqs_gap0_no20_0.4,2728.9309159561253,5379.945659961557,4546.8820515145,cooperative
seq1266_all_clean_seqs_gap0_no20_0.4,511.7102359056375,352.0814669974517,412.8483619415615,independent
seq1267_all_clean_seqs_gap0_no20_0.4,580.1795316072776,587.0582427041836,606.0520503781374,independent
seq1268_all_clean_seqs_gap0_no20_0.4,2336.82325004174,5710.414689738906,4818.601821585426,cooperative
seq1269_all_clean_seqs_gap0_no20_0.4,701.271396807992,882.1890484844796,848.7158629039229,cooperative
seq1271_all_clean_seqs_gap0_no20_0.4,863.248100464331,1071.955824515222,1004.7467768595045,independent
seq1275_all_clean_seqs_gap0_no20_0.4,1874.6607483348948,2091.9919231041613,1843.445563125095,independent
seq1276_all_clean_seqs_gap0_no20_0.4,1532.403488685345,2095.02727522534,1845.9413043478248,cooperative
seq1278_all_clean_seqs_gap0_no20_0.4,426.756122193622,544.6262016756978,571.163381870628,independent
seq1279_all_clean_seqs_gap0_no20_0.4,2868.3273948441047,5003.470783940231,4237.33514232632,cooperative
seq1282_all_clean_seqs_gap0_no20_0.4,5538.51835754545,7353.776886428614,6169.8146675475,cooperative
seq1283_all_clean_seqs_gap0_no20_0.4,1164.37360044329,1722.4956864595194,1539.6366629967001,ambiguous
seq1286_all_clean_seqs_gap0_no20_0.4,3390.3619492400003,25487.25470320829,21079.6064452559,cooperative
seq1287_all_clean_seqs_gap0_no20_0.4,569.922537478515,636.2590358554298,646.5061534793294,independent
seq1289_all_clean_seqs_gap0_no20_0.4,767.006396588486,2615.426531836432,2273.82638164755,cooperative
seq1291_all_clean_seqs_gap0_no20_0.4,6679.254441624365,33440.54259164946,27618.99550029415,cooperative
seq1293_all_clean_seqs_gap0_no20_0.4,2065.7933310765047,2496.8836953259324,2176.35754379037,independent
seq1294_all_clean_seqs_gap0_no20_0.4,429.78371086254504,643.0838426251094,652.117677583374,cooperative
seq1295_all_clean_seqs_gap0_no20_0.4,1155.450187969925,3881.14416489601,3314.53057248013,cooperative
seq1296_all_clean_seqs_gap0_no20_0.4,603.8487081171286,3552.033385444025,3043.927589257145,cooperative
seq1297_all_clean_seqs_gap0_no20_0.4,730.9519133198035,960.5074652516043,913.111192810086,independent
seq1298_all_clean_seqs_gap0_no20_0.4,502.1767932849465,3953.7124474755096,3374.19800052998,cooperative
seq1299_all_clean_seqs_gap0_no20_0.4,769.9228260869565,4867.744201615485,4125.737405719535,cooperative
seq129_all_clean_seqs_gap0_no20_0.4,460.88528573545,458.3020281101346,500.185521680217,independent
seq1301_all_clean_seqs_gap0_no20_0.4,779.6457023060796,5370.414487495556,4539.04528692354,cooperative
seq1302_all_clean_seqs_gap0_no20_0.4,701.740046363373,1852.0194128670364,1646.134258798315,cooperative
seq1303_all_clean_seqs_gap0_no20_0.4,535.2805111983146,821.2878437794562,798.641393442623,independent
seq1304_all_clean_seqs_gap0_no20_0.4,2718.930476048025,4997.691397834728,4232.583188823155,independent
seq1305_all_clean_seqs_gap0_no20_0.4,612.4457795233654,540.8078963901671,568.0238772854509,independent
seq1306_all_clean_seqs_gap0_no20_0.4,658.0700791719505,2830.0306488925016,2450.2791687121553,cooperative
seq1308_all_clean_seqs_gap0_no20_0.4,921.6153144940745,1028.6630756974223,969.1504132231405,independent
seq1309_all_clean_seqs_gap0_no20_0.4,503.8676630726885,450.8379980296389,494.0484124369055,independent
seq1310_all_clean_seqs_gap0_no20_0.4,478.43358378629,539.0697660820135,566.5947437657289,independent
seq1311_all_clean_seqs_gap0_no20_0.4,455.0983711864045,568.3423438014693,590.663377648525,independent
seq1312_all_clean_seqs_gap0_no20_0.4,660.943378969167,638.2186597499594,648.1174044773604,independent
seq1314_all_clean_seqs_gap0_no20_0.4,3272.7927024588353,7876.219892913781,6599.38016629622,cooperative
seq1315_all_clean_seqs_gap0_no20_0.4,779.098172336915,1309.783798076759,1200.294790348435,independent
seq1316_all_clean_seqs_gap0_no20_0.4,5709.40743155647,14831.487421491955,12318.17231731965,cooperative
seq1318_all_clean_seqs_gap0_no20_0.4,2859.7884978484253,6606.894861466564,5555.7098837209305,cooperative
seq1321_all_clean_seqs_gap0_no20_0.4,736.4492453096345,775.2854820175749,760.817119352311,independent
seq1322_all_clean_seqs_gap0_no20_0.4,568.978757401602,411.15025896743896,461.4161765511965,independent
seq1323_all_clean_seqs_gap0_no20_0.4,364.63399706218354,873.6575794757335,841.701079101079,cooperative
seq1326_all_clean_seqs_gap0_no20_0.4,1098.366861841745,1106.7338289530276,1033.342108094425,independent
seq1327_all_clean_seqs_gap0_no20_0.4,844.429704869523,1116.1589159481534,1041.091646600165,independent
seq1329_all_clean_seqs_gap0_no20_0.4,633.7154456100934,875.5193528651462,843.231875005422,cooperative
seq132_all_clean_seqs_gap0_no20_0.4,456.60284661575,330.3344759433387,394.967450641222,independent
seq1330_all_clean_seqs_gap0_no20_0.4,2132.792687163455,7666.274029550084,6426.757510070431,cooperative
seq1331_all_clean_seqs_gap0_no20_0.4,1545.21338219885,1470.3723669656115,1332.334664232825,independent
seq1333_all_clean_seqs_gap0_no20_0.4,445.1152029113235,344.04292698992356,406.23887649591154,ambiguous
seq1334_all_clean_seqs_gap0_no20_0.4,504.894653436019,1098.538043683134,1026.6033317238025,cooperative
seq1335_all_clean_seqs_gap0_no20_0.4,531.845338107433,782.5476776966825,766.7882753830795,independent
seq1337_all_clean_seqs_gap0_no20_0.4,595.247954408213,6679.107575992976,5615.084954965985,cooperative
seq1338_all_clean_seqs_gap0_no20_0.4,795.8915237079285,942.7629796635781,898.52124001707,cooperative
seq1341_all_clean_seqs_gap0_no20_0.4,1769.564196673465,7136.224403003764,5990.937661086755,cooperative
seq1342_all_clean_seqs_gap0_no20_0.4,662.7671996394185,620.0124564607555,633.1478160262429,independent
